Row Name,ID,Name,ItemType,Icon,Stackable,MaxStackNum,IsInstance,Mesh,Description,Information,Price
0000,0000,None,None,/Script/Engine.Texture2D'/Game/MyAsset/Texture/ItemNone.ItemNone',TRUE,10,FALSE,nullptr,None,None,0
0001,0001,豌豆射手I,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/PeashooterI.PeashooterI',FALSE,1,TRUE,nullptr,一株植物，怎么能如此快地生长，并发射如此多豌豆呢？豌豆射手说：“努力工作，奉献自我，再加上一份阳光和高纤维二氧化碳均衡搭配的早餐。这些让一切成为可能。”,TestI,1
0002,0002,豌豆射手II,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/PeaShooterII.PeaShooterII',FALSE,1,TRUE,nullptr,一株植物，怎么能如此快地生长，并发射如此多豌豆呢？豌豆射手说：“努力工作，奉献自我，再加上一份阳光和高纤维二氧化碳均衡搭配的早餐。这些让一切成为可能。”,TestI,2
0003,0003,豌豆射手III,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/PeaShooterIII.PeaShooterIII',FALSE,1,TRUE,nullptr,一株植物，怎么能如此快地生长，并发射如此多豌豆呢？豌豆射手说：“努力工作，奉献自我，再加上一份阳光和高纤维二氧化碳均衡搭配的早餐。这些让一切成为可能。”,TestI,3
0004,0004,向日葵I,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/SunFlowerI.SunFlowerI',FALSE,1,TRUE,nullptr,向日葵情不自禁和着节拍起舞。是什么节拍呢？嗨，是来源于大地，能赋予生机的爵士节拍。这种频率的节拍，只有向日葵才能听到。,TestI,1
0005,0005,向日葵II,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/SunFlowerII.SunFlowerII',FALSE,1,TRUE,nullptr,向日葵情不自禁和着节拍起舞。是什么节拍呢？嗨，是来源于大地，能赋予生机的爵士节拍。这种频率的节拍，只有向日葵才能听到。,TestI,2
0006,0006,向日葵III,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/SunFlowerIII.SunFlowerIII',FALSE,1,TRUE,nullptr,向日葵情不自禁和着节拍起舞。是什么节拍呢？嗨，是来源于大地，能赋予生机的爵士节拍。这种频率的节拍，只有向日葵才能听到。,TestI,3
0007,0007,樱桃炸弹,Item_Damage,/Script/Engine.Texture2D'/Game/MyAsset/Texture/CherryBomb.CherryBomb',TRUE,3,TRUE,nullptr,“我要爆开了，”樱桃一号说。“不，我们是要炸开了！”他弟弟樱桃二号说。经过激烈磋商之后，他们才统一达成爆炸这个说法。,TestI,5
0008,0008,戴夫玉米卷,Item_Buff,/Script/Engine.Texture2D'/Game/MyAsset/Texture/TACO.TACO',TRUE,5,FALSE,nullptr,代号SNK-001-D的时空稳定锚（自称），食用后触发不可控能量激增与哲学性火烈鸟沉思。,TestI,5
0009,0009,医药箱,Item_Buff,/Script/Engine.Texture2D'/Game/MyAsset/Texture/MedicineBox.MedicineBox',TRUE,5,FALSE,nullptr,内含僵尸牌创可贴与可疑彩虹药丸，能瞬间治愈草坪创伤（副作用是戴夫会对着箱子深情演讲,TestI,5
0010,0010,寒冰射手,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/SnowPea.SnowPea',FALSE,1,TRUE,nullptr,大伙经常告诉雪花豌豆他有多“酷”，或者告诫他要“冷静”，他们告诉他要“保持冰冷”。雪花豌豆只是翻翻白眼。他都听见了。,TestI,10
0011,0011,坚果墙I,Plant,/Script/Engine.Texture2D'/Game/MyAsset/Texture/Wall-NutI.Wall-NutI',FALSE,1,TRUE,nullptr,“人们想知道，经常被僵尸啃感觉怎样，”坚果墙说，“他们不明白，我有限的感觉只能让我感到麻麻的，就像是在放松地搓背。,TestI,1
